          397         101
   0.2424400       5.000000       6514562.       20000.00    
   0.9533765      0.9538509      0.9542233      0.9543104      0.9558843    
   0.9788088      0.9831122      0.9859188      0.9878589      0.9894493    
   0.9909056      0.9923235      0.9937530      0.9951746      0.9965404    
   0.9977641      0.9988686      0.9998282       1.000581       1.001066    
    1.001262       1.001191       1.001003       1.000781       1.000625    
    1.000501       1.000390       1.000317       1.000235       1.000191    
    1.000131       1.000107       1.000069       1.000051       1.000031    
    1.000014       1.000004      0.9999936      0.9999856      0.9999797    
   0.9999738      0.9999742      0.9999675      0.9999675      0.9999679    
   0.9999679      0.9999745      0.9999740      0.9999797      0.9999853    
   0.9999931       1.000004       1.000014       1.000031       1.000051    
    1.000068       1.000107       1.000131       1.000191       1.000235    
    1.000316       1.000390       1.000502       1.000625       1.000782    
    1.001004       1.001185       1.001251       1.001038       1.000544    
   0.9997977      0.9988477      0.9977546      0.9965386      0.9951787    
   0.9937609      0.9923348      0.9909195      0.9894646      0.9878747    
   0.9859366      0.9831392      0.9789141      0.9602449      0.9563739    
   0.9568132      0.9566229      0.9560764      0.9555527      0.9550745    
   0.9546535      0.9542750      0.9539298      0.9536108      0.9533050    
   0.9530087      0.9527304      0.9524695      0.9522219      0.9519892    
   0.9517663      0.9515458      0.9513319      0.9511332      0.9509415    
   0.9507505      0.9505690      0.9504002      0.9502392      0.9500846    
   0.9499348      0.9497921      0.9496589      0.9495355      0.9494188    
   0.9493032      0.9491942      0.9490932      0.9489915      0.9488947    
   0.9488150      0.9487339      0.9486452      0.9485625      0.9484859    
   0.9484142      0.9483467      0.9482803      0.9482104      0.9481453    
   0.9480936      0.9480412      0.9479836      0.9479138      0.9478570    
   0.9478336      0.9478096      0.9477662      0.9476830      0.9475973    
   0.9475461      0.9475327      0.9475377      0.9475075      0.9474617    
   0.9474167      0.9473583      0.9472928      0.9472166      0.9471630    
   0.9471583      0.9471686      0.9471706      0.9471415      0.9470844    
   0.9470106      0.9469641      0.9469962      0.9469971      0.9470136    
   0.9470657      0.9471638      0.9472805      0.9475435      0.9478563    
   0.9478512      0.9476876      0.9480484      0.9483796      0.9483618    
   0.9482292      0.9483089      0.9488464      0.9496540      0.9499402    
   0.9498477      0.9501093      0.9506110      0.9513184      0.9521849    
   0.9530305      0.9535487      0.9536609      0.9545382      0.9555513    
   0.9560044      0.9565110      0.9573681      0.9581051      0.9587831    
   0.9595690      0.9603129      0.9611682      0.9619693      0.9627115    
   0.9636205      0.9643630      0.9651079      0.9659587      0.9667886    
   0.9676911      0.9686717      0.9696921      0.9707065      0.9716256    
   0.9727625      0.9741650      0.9755919      0.9769865      0.9783513    
   0.9796727      0.9809516      0.9821590      0.9833517      0.9845260    
   0.9856337      0.9866349      0.9875849      0.9884911      0.9892339    
   0.9897639      0.9900667      0.9901217      0.9898860      0.9894207    
   0.9886704      0.9876422      0.9863513      0.9847737      0.9826928    
   0.9803016      0.9779527      0.9751913      0.9719832      0.9684198    
   0.9645898      0.9610484      0.9576819      0.9539161      0.9499896    
   0.9464670      0.9430827      0.9395238      0.9359288      0.9324369    
   0.9290477      0.9256619      0.9221961      0.9196811      0.9183344    
   0.9172222      0.9161862      0.9153329      0.9143938      0.9131917    
   0.9110989      0.9083745      0.9055572      0.9026574      0.9007121    
   0.8998147      0.8982512      0.8971726      0.8960772      0.8941076    
   0.8929633      0.8926920      0.8920812      0.8909377      0.8898845    
   0.8888362      0.8883386      0.8879380      0.8877080      0.8881491    
   0.8877907      0.8880060      0.8870873      0.8884104      0.8927224    
   0.8910128      0.8862541      0.8822914      0.8857006      0.8885804    
   0.8895596      0.8896088      0.8900126      0.8908606      0.8916822    
   0.8922244      0.8926334      0.8934966      0.8954590      0.8979394    
   0.8999982      0.9015877      0.9027172      0.9031809      0.9034030    
   0.9041294      0.9052907      0.9068708      0.9083443      0.9095383    
   0.9106725      0.9117674      0.9128650      0.9137979      0.9145241    
   0.9151904      0.9150138      0.9147841      0.9155337      0.9169686    
   0.9181983      0.9187726      0.9189264      0.9193186      0.9197527    
   0.9202865      0.9210487      0.9218262      0.9223881      0.9228951    
   0.9236055      0.9242927      0.9249216      0.9248289      0.9248236    
   0.9253978      0.9263642      0.9274389      0.9280943      0.9284993    
   0.9286583      0.9284215      0.9286423      0.9290053      0.9295404    
   0.9301013      0.9306100      0.9311600      0.9317059      0.9321650    
   0.9325190      0.9329386      0.9336314      0.9345049      0.9351854    
   0.9356123      0.9359603      0.9360963      0.9361560      0.9363171    
   0.9365698      0.9368453      0.9371116      0.9373891      0.9377482    
